City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ushuaia,-54.8,-68.3,31.66,93.0,40.0,20.71,AR,1631776818.0
victoria,22.2855,114.1577,93.16,72.0,39.0,1.01,HK,1631776806.0
sao filipe,14.8961,-24.4956,79.59,81.0,25.0,9.8,CV,1631776820.0
okhotsk,59.3833,143.3,57.09,76.0,99.0,10.11,RU,1631776822.0
ahipara,-35.1667,173.1667,58.95,97.0,67.0,6.89,NZ,1631776824.0
albany,42.6001,-73.9662,63.09,95.0,100.0,1.81,US,1631776824.0
sinnamary,5.3833,-52.95,78.37,85.0,2.0,6.17,GF,1631776825.0
punta arenas,-53.15,-70.9167,32.11,74.0,75.0,2.3,CL,1631776828.0
pevek,69.7008,170.3133,31.62,89.0,100.0,11.23,RU,1631776830.0
sturgis,41.7992,-85.4192,57.22,50.0,1.0,0.0,US,1631776832.0
rikitea,-23.1203,-134.9692,73.87,71.0,0.0,14.97,PF,1631776834.0
nantucket,41.2835,-70.0995,73.99,94.0,1.0,8.05,US,1631776836.0
kahului,20.8947,-156.47,77.02,75.0,1.0,6.91,US,1631776837.0
klaksvik,62.2266,-6.589,47.32,80.0,6.0,7.94,FO,1631776839.0
khatanga,71.9667,102.5,35.6,95.0,100.0,11.97,RU,1631776840.0
mar del plata,-38.0023,-57.5575,44.62,76.0,0.0,6.91,AR,1631776842.0
xingyi,24.1877,102.817,73.81,67.0,99.0,7.43,CN,1631776844.0
hilo,19.7297,-155.09,79.29,94.0,90.0,11.5,US,1631776688.0
hermanus,-34.4187,19.2345,61.9,72.0,99.0,11.01,ZA,1631776845.0
impfondo,1.6381,18.0667,80.08,66.0,100.0,3.69,CG,1631776846.0
lebu,-37.6167,-73.65,46.31,85.0,2.0,6.8,CL,1631776848.0
vaini,-21.2,-175.2,75.36,94.0,20.0,5.75,TO,1631776850.0
hobart,-42.8794,147.3294,52.27,76.0,20.0,13.8,AU,1631776707.0
si sa ket,14.8333,104.3333,85.87,71.0,100.0,5.12,TH,1631776853.0
benghazi,32.1167,20.0667,78.91,56.0,0.0,8.37,LY,1631776853.0
saint george,37.1041,-113.5841,76.53,21.0,1.0,4.0,US,1631776855.0
saint-philippe,-21.3585,55.7679,78.35,72.0,0.0,11.27,RE,1631776856.0
montorio al vomano,42.5831,13.6383,74.82,36.0,100.0,3.56,IT,1631776858.0
avera,33.194,-82.5271,72.28,98.0,100.0,6.69,US,1631776859.0
trinidad,-14.8333,-64.9,74.17,55.0,76.0,5.32,BO,1631776861.0
mahon,39.8885,4.2658,77.56,61.0,40.0,17.27,ES,1631776863.0
bredasdorp,-34.5322,20.0403,58.32,63.0,96.0,9.22,ZA,1631776651.0
udachnyy,66.4167,112.4,47.89,46.0,96.0,13.94,RU,1631776865.0
lauterbach,50.6333,9.4,60.17,89.0,100.0,6.78,DE,1631776866.0
luganville,-15.5333,167.1667,77.49,83.0,52.0,6.08,VU,1631776869.0
castro,-24.7911,-50.0119,56.32,98.0,100.0,6.91,BR,1631776870.0
kavaratti,10.5669,72.642,80.82,82.0,100.0,16.44,IN,1631776872.0
avarua,-21.2078,-159.775,75.25,78.0,40.0,9.22,CK,1631776872.0
kidal,18.4411,1.4078,89.15,33.0,3.0,6.71,ML,1631776874.0
hambantota,6.1241,81.1185,87.31,64.0,97.0,22.7,LK,1631776876.0
puerto quijarro,-17.7833,-57.7667,76.62,58.0,6.0,6.85,BO,1631776876.0
gorontalo,0.5412,123.0595,77.49,95.0,100.0,4.63,ID,1631776878.0
mataura,-46.1927,168.8643,42.48,87.0,53.0,3.02,NZ,1631776878.0
bryan,30.6744,-96.37,73.02,87.0,1.0,0.0,US,1631776879.0
san bartolome,27.9248,-15.5733,63.66,75.0,20.0,16.11,ES,1631776885.0
hithadhoo,-0.6,73.0833,83.32,71.0,73.0,9.71,MV,1631776888.0
ilo,-17.6394,-71.3375,58.87,85.0,68.0,8.75,PE,1631776888.0
san quintin,30.4833,-115.95,68.05,81.0,0.0,12.19,MX,1631776890.0
bluff,-46.6,168.3333,42.8,62.0,60.0,10.8,NZ,1631776891.0
puerto ayora,-0.7393,-90.3518,65.55,96.0,29.0,9.78,EC,1631776892.0
dikson,73.5069,80.5464,38.82,93.0,100.0,24.02,RU,1631776893.0
faanui,-16.4833,-151.75,79.29,73.0,1.0,20.02,PF,1631776895.0
teknaf,20.8624,92.3058,85.35,73.0,99.0,4.74,BD,1631776897.0
port elizabeth,-33.918,25.5701,59.29,72.0,20.0,19.57,ZA,1631776815.0
airai,-8.9266,125.4092,74.91,45.0,32.0,6.35,TL,1631776898.0
cape town,-33.9258,18.4232,62.11,75.0,20.0,5.01,ZA,1631776898.0
meulaboh,4.1363,96.1285,85.82,59.0,63.0,6.76,ID,1631776900.0
lecce,40.2167,18.1667,81.36,73.0,0.0,3.44,IT,1631776900.0
barrow,71.2906,-156.7887,33.82,80.0,90.0,9.22,US,1631776902.0
thompson,55.7435,-97.8558,42.96,93.0,40.0,8.05,CA,1631776903.0
atuona,-9.8,-139.0333,78.13,72.0,3.0,20.98,PF,1631776904.0
cockburn town,21.4612,-71.1419,82.13,80.0,24.0,13.71,TC,1631776906.0
saskylakh,71.9167,114.0833,42.64,87.0,100.0,13.44,RU,1631776907.0
souillac,-20.5167,57.5167,76.35,83.0,75.0,9.22,MU,1631776909.0
port hardy,50.6996,-127.4199,50.0,93.0,1.0,8.05,CA,1631776911.0
bathsheba,13.2167,-59.5167,81.21,89.0,40.0,10.36,BB,1631776913.0
busselton,-33.65,115.3333,53.04,63.0,90.0,20.85,AU,1631776914.0
mokhsogollokh,61.4681,128.9203,49.91,94.0,100.0,5.82,RU,1631776819.0
olsztyn,53.7799,20.4942,58.96,89.0,100.0,9.44,PL,1631776915.0
sioux lookout,50.1001,-91.917,62.98,59.0,75.0,16.11,CA,1631776916.0
moorhead,46.8739,-96.7676,64.94,74.0,1.0,1.99,US,1631776917.0
ouegoa,-20.35,164.4333,70.48,61.0,32.0,10.11,NC,1631776919.0
namatanai,-3.6667,152.4333,81.95,75.0,86.0,9.15,PG,1631776919.0
komsomolskiy,40.4272,71.7189,86.72,17.0,0.0,6.91,UZ,1631776921.0
vila velha,-20.3297,-40.2925,73.35,88.0,40.0,5.75,BR,1631776922.0
ancud,-41.8697,-73.8203,50.43,91.0,100.0,13.27,CL,1631776924.0
longyearbyen,78.2186,15.6401,40.84,70.0,75.0,11.5,SJ,1631776925.0
chokurdakh,70.6333,147.9167,40.77,66.0,100.0,8.16,RU,1631776927.0
bethel,41.3712,-73.414,72.18,83.0,75.0,4.61,US,1631776929.0
cherskiy,68.75,161.3,34.05,65.0,93.0,1.77,RU,1631776930.0
niono,14.2526,-5.993,77.77,77.0,100.0,9.15,ML,1631776932.0
russell,32.3502,-85.1999,71.38,91.0,90.0,0.0,US,1631776933.0
upernavik,72.7868,-56.1549,28.33,79.0,100.0,7.74,GL,1631776934.0
winneba,5.3511,-0.6231,77.47,91.0,84.0,7.47,GH,1631776936.0
krasnyy kut,50.95,46.9667,55.78,43.0,8.0,11.34,RU,1631776938.0
ilulissat,69.2167,-51.1,24.82,36.0,40.0,34.52,GL,1631776939.0
mormugao,15.4,73.8,82.44,74.0,69.0,9.6,IN,1631776941.0
provideniya,64.3833,-173.3,39.45,69.0,99.0,2.98,RU,1631776941.0
ottawa,45.4112,-75.6981,54.99,92.0,20.0,0.0,CA,1631776943.0
hami,42.8,93.45,88.0,10.0,94.0,3.13,CN,1631776944.0
san andres,12.5847,-81.7006,80.62,83.0,75.0,3.44,CO,1631776945.0
